tvk,code,taxon
NHMSYS0000457002,,Cedrus deodara
NHMSYS0000457003,,Cedrus libani
NBNSYS0000004503,,Centaurea cyanus
NBNSYS0000004502,,Centaurea montana
NBNSYS0000004506,,Centaurea nigra
NHMSYS0001754525,,Centaurea nigra x jacea = C. x moncktonii
NBNSYS0000004501,,Centaurea scabiosa
NBNSYS0000004511,,Centaurea solstitialis
NHMSYS0000457033,,Centaurium erythraea
NBNSYS0000004346,,Centranthus ruber
NBNSYS0000002286,,Cephalanthera longifolia
NHMSYS0000344465,,Cephalaria gigantea
NBNSYS0000003017,,Cerastium arvense
NBNSYS0000003025,,Cerastium diffusum
NBNSYS0000003022,,Cerastium fontanum
NHMSYS0000457069,,Cerastium fontanum subsp. vulgare
NBNSYS0000003023,,Cerastium glomeratum
NBNSYS0000003027,,Cerastium semidecandrum
NBNSYS0000003018,,Cerastium tomentosum
NHMSYS0000457085,,Ceratocapnos claviculata
NBNSYS0000002591,,Ceratochloa cathartica
NBNSYS0000002761,,Ceratophyllum demersum
NHMSYS0100001007,,Ceterach officinarum
NBNSYS0000033371,,Chaenomeles speciosa
NBNSYS0000004072,,Chaenorhinum minus
NBNSYS0000003638,,Chaerophyllum temulum
NHMSYS0000457113,,Chamaecyparis lawsoniana
NBNSYS0000004450,,Chamaemelum nobile
NBNSYS0000003598,,Chamerion angustifolium
NHMSYS0000457128,,Chara aspera
NHMSYS0000377473,,Chara globularis sensu lato
NBNSYS0000039850,,Chara hispida
NHMSYS0000457218,,Chara virgata
NHMSYS0020503074,,Chara vulgaris sensu Stewart
NBNSYS0000002775,,Chelidonium majus
NHMSYS0000457251,,Chenopodium album
NBNSYS0000003088,,Chenopodium bonus-henricus
NHMSYS0000457257,,Chenopodium capitatum
NHMSYS0000457259,,Chenopodium carinatum
NHMSYS0000457262,,Chenopodium ficifolium
NHMSYS0000457263,,Chenopodium giganteum
NBNSYS0000003104,,Chenopodium glaucum
NBNSYS0000003101,,Chenopodium hybridum
NBNSYS0000003099,,Chenopodium murale
NBNSYS0000003089,,Chenopodium polyspermum
NBNSYS0000003102,,Chenopodium rubrum
NBNSYS0000003100,,Chenopodium urbicum
NBNSYS0000003090,,Chenopodium vulvaria
NBNSYS0200003539,,Chiastophyllum oppositifolium
NBNSYS0000005410,,Chionodoxa forbesii
NBNSYS0000003511,,Chrysosplenium alternifolium
NBNSYS0000003510,,Chrysosplenium oppositifolium
NBNSYS0000013994,,Cicer arietinum
NBNSYS0000004547,,Cicerbita bourgaei
NBNSYS0000004548,,Cicerbita macrophylla
NBNSYS0000004514,,Cichorium intybus
NBNSYS0000003674,,Cicuta virosa
NBNSYS0000003604,,Circaea lutetiana
NBNSYS0000161511,,Circaea lutetiana x alpina = C. x intermedia
NBNSYS0000004492,,Cirsium arvense
NBNSYS0000004496,,Cirsium dissectum
NBNSYS0000004489,,Cirsium eriophorum
NBNSYS0000004495,,Cirsium heterophyllum
NBNSYS0000004491,,Cirsium palustre
NHMSYS0001754390,,Cirsium palustre x arvense = C. x celakovskianum
NBNSYS0000004490,,Cirsium vulgare
NBNSYS0000033927,,Citrullus lanatus
NBNSYS0000002409,,Cladium mariscus
NBNSYS0000003079,,Claytonia perfoliata
NBNSYS0000003080,,Claytonia sibirica
NBNSYS0000002704,,Clematis vitalba
NBNSYS0000004216,,Clinopodium acinos
NHMSYS0000457382,,Clinopodium ascendens
NBNSYS0000004215,,Clinopodium calamintha
NBNSYS0000004217,,Clinopodium vulgare
NBNSYS0000002854,,Cochlearia danica
NBNSYS0000042402,,Cochlearia officinalis sens.lat.
NBNSYS0000002851,,Cochlearia pyrenaica
NHMSYS0000457408,,Coeloglossum viride
NHMSYS0100001058,,Coincya monensis subsp. cheiranthos
NBNSYS0000002189,,Colchicum autumnale
NBNSYS0000003266,,Colutea arborescens
NBNSYS0000003655,,Conium maculatum
NBNSYS0000003681,,Conopodium majus
NBNSYS0000002161,,Convallaria majalis
NBNSYS0000004022,,Convolvulus arvensis
NHMSYS0000457483,,Conyza canadensis
NHMSYS0000457486,,Conyza sumatrensis
NHMSYS0000457493,,Corallorhiza trifida
NBNSYS0000003651,,Coriandrum sativum
NBNSYS0000033585,,Cornus alba
NBNSYS0000003626,,Cornus sanguinea
NBNSYS0000003627,,Cornus sericea
NHMSYS0000457520,,Coronopus didymus
NHMSYS0000457521,,Coronopus squamatus
NHMSYS0100001080,,Cortaderia richardii
NHMSYS0000457526,,Cortaderia selloana
NBNSYS0000002778,,Corydalis solida
NBNSYS0000003839,,Corylus avellana
NBNSYS0000033958,,Cotinus coggygria
NHMSYS0000457545,,Cotoneaster
NBNSYS0000004710,,Cotoneaster bullatus
NHMSYS0000457572,,Cotoneaster conspicuus
NHMSYS0000457575,,Cotoneaster dammeri
NHMSYS0001754448,,Cotoneaster dammeri x conspicuus = C. x suecicus
NHMSYS0000457576,,Cotoneaster dielsianus
NHMSYS0000465515,,Cotoneaster ellipticus nom. inval.
NBNSYS0000004711,,Cotoneaster franchetii
NHMSYS0000457582,,Cotoneaster frigidus
NBNSYS0000161533,,Cotoneaster frigidus x salicifolius = C. x watereri
NHMSYS0000457586,,Cotoneaster hjelmqvistii
NHMSYS0000457587,,Cotoneaster horizontalis
NHMSYS0000457600,,Cotoneaster integrifolius
NHMSYS0000457601,,Cotoneaster lacteus
NHMSYS0000457607,,Cotoneaster mairei
NBNSYS0000042602,,Cotoneaster microphyllus agg.
NBNSYS0000034382,,Cotoneaster rehderi
NHMSYS0000457626,,Cotoneaster salicifolius
NBNSYS0000003424,,Cotoneaster simonsii
NBNSYS0000033983,,Cotoneaster sternianus
NBNSYS0000004468,,Cotula coronopifolia
NHMSYS0000457646,,Cotula squalida
NHMSYS0000457654,,Crassula aquatica
NBNSYS0000004639,,Crassula helmsii
NHMSYS0000457671,,Crataegus laevigata
NBNSYS0000003430,,Crataegus monogyna
NHMSYS0001754310,,Crataegus monogyna x laevigata = C. x media
NBNSYS0000033525,,Crataegus persimilis
NBNSYS0000004575,,Crepis biennis
NBNSYS0000004576,,Crepis capillaris
NBNSYS0000004574,,Crepis mollis
NHMSYS0000457689,,Crepis nicaeensis
NBNSYS0000004578,,Crepis paludosa
NBNSYS0000004573,,Crepis setosa
NBNSYS0000004572,,Crepis vesicaria
NHMSYS0001754398,,Crocosmia pottsii x aurea = C. x crocosmiiflora
NHMSYS0001754494,,Crocus angustifolius x flavus = C. x stellaris
NHMSYS0000457724,,Crocus chrysanthus
NBNSYS0000002276,,Crocus flavus
NHMSYS0000457725,,Crocus nudiflorus
NHMSYS0000457732,,Crocus speciosus
NHMSYS0000457733,,Crocus tommasinianus
NBNSYS0000002273,,Crocus vernus
NHMSYS0100001163,,Crocus vernus x tommasinianus
NBNSYS0000004304,,Cruciata laevipes
NHMSYS0000457743,,Cryptogramma crispa
NBNSYS0000014732,,Cucumis melo
NBNSYS0000014747,,Cucurbita pepo
NHMSYS0000457766,,Cupressus macrocarpa
NHMSYS0020112216,,Cupressus macrocarpa x Xanthocyparis nootkatensis = X Cuprocyparis leylandii
NHMSYS0000457774,,Cuscuta campestris
NBNSYS0000004030,,Cuscuta epithymum
NBNSYS0000003933,,Cyclamen hederifolium
NHMSYS0000457806,,Cymbalaria muralis
NHMSYS0000457807,,Cymbalaria muralis subsp. muralis
NHMSYS0000457808,,Cymbalaria muralis subsp. visianii
NBNSYS0000004077,,Cymbalaria pallida
NBNSYS0000003980,,Cynoglossum officinale
NBNSYS0000002563,,Cynosurus cristatus
NBNSYS0000002564,,Cynosurus echinatus
NBNSYS0000002403,,Cyperus longus
NBNSYS0000002284,,Cypripedium calceolus
NBNSYS0000002058,,Cystopteris fragilis
NBNSYS0000003214,,Cytisus scoparius
NHMSYS0000457861,,Cytisus scoparius subsp. scoparius
NBNSYS0000002561,,Dactylis glomerata
NHMSYS0000457901,,Dactylorhiza fuchsii
NHMSYS0001754663,,Dactylorhiza fuchsii x incarnata = D. x kernerorum
NHMSYS0001754647,,Dactylorhiza fuchsii x maculata = D. x transiens
NHMSYS0001754646,,Dactylorhiza fuchsii x praetermissa = D. x grandis
