code,taxon,tvk
3,Formica picea [Genus inferred],NHMSYS0000875960
5,Formica pratensis,NHMSYS0000875961
3,Formica rufa,NHMSYS0000875963
5,Formica rufibarbis,NHMSYS0000875964
2,Formica sanguinea,NHMSYS0000875966
3,Formicoxenus nitidulus,NHMSYS0000875971
4,Gonatopus bicolor,NHMSYS0000875975
4,Gonatopus clavipes,NHMSYS0000875976
4,Gonatopus distinguendus,NHMSYS0000875979
4,Gonatopus helleni,NHMSYS0000875983
4,Gonatopus lunatus,NHMSYS0000875985
4,Gonatopus pedestris,NHMSYS0000875987
4,Gonatopus striatus,NHMSYS0000875994
4,Goniozus claripennis,NHMSYS0000875999
3,Gorytes laticinctus,NHMSYS0000876005
3,Gorytes quadrifasciatus,NHMSYS0000876006
4,Halictus confusus,NHMSYS0000876021
4,Halictus eurygnathus,NHMSYS0000876022
5,Halictus maculatus,NHMSYS0000876025
3,Halictus rubicundus,NHMSYS0000876030
5,Halictus subauratus,NHMSYS0000876032
2,Halictus tumulorum,NHMSYS0000876034
4,Haplogonatopus oratorius,NHMSYS0000876036
3,Harpactus tumidus,NHMSYS0000876038
3,Hedychridium ardens,NHMSYS0000876040
3,Hedychridium coriaceum,NHMSYS0000876041
3,Hedychridium cupreum,NHMSYS0000876042
2,Hedychridium roseum,NHMSYS0000876044
4,Hedychrum niemelai,NHMSYS0000876047
5,Hedychrum rutilans,NHMSYS0000876050
3,Heriades truncorum,NHMSYS0000876052
4,Holepyris glabratus,NHMSYS0000876054
4,Holepyris sylvanidis,NHMSYS0000876056
3,Homonotus sanguinolentus,NHMSYS0000876062
3,Hoplitis claviventris,NHMSYS0000876071
5,Hoplitis leucomelana,NHMSYS0000876073
3,Hylaeus brevicornis,NHMSYS0000876098
2,Hylaeus communis,NHMSYS0000876099
3,Hylaeus confusus,NHMSYS0000876100
2,Hylaeus cornutus,NHMSYS0000876101
3,Hylaeus dilatatus [Genus inferred],NHMSYS0000876102
3,Hylaeus hyalinatus,NHMSYS0000876106
3,Hylaeus pectoralis,NHMSYS0000876110
3,Hylaeus pictipes,NHMSYS0000876111
5,Hylaeus punctulatissimus,NHMSYS0000876113
3,Hylaeus signatus,NHMSYS0000876116
4,Hypoponera punctatissima,NHMSYS0000876120
