taxon,tvk,km100,km10,coord_system
Stratiomys potamida,NBNSYS0000007842,SO,10 12 19 20 21 24 29 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 59 60 61 62 63 64 65 66 68 69 70 71 72 79 80 81 82 90 91 92 93 99,OSGB
Stratiomys potamida,NBNSYS0000007842,SP,00 01 02 03 06 08 09 11 12 13 18 26 28 30 31 32 34 40 41 42 43 44 45 50 51 52 53 54 55 56 59 60 61 62 63 64 65 66 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98 99,OSGB
Stratiomys potamida,NBNSYS0000007842,SS,77 79 88 89 97 99,OSGB
Stratiomys potamida,NBNSYS0000007842,ST,07 08 09 18 19 26 28 29 30 31 33 34 35 37 38 39 40 41 42 45 46 47 48 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64 65 66 67 69 70 71 72 73 74 77 78 79 81 82 84 86 87 88 89 90 92 93 96 97 98 99,OSGB
Stratiomys potamida,NBNSYS0000007842,SU,00 01 03 05 06 07 08 10 11 12 15 16 17 18 19 21 22 23 26 27 28 29 30 31 32 33 34 36 37 38 39 40 41 42 44 46 47 48 49 50 51 52 53 55 56 57 58 59 60 61 62 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 94 95 96 97 98 99,OSGB
Stratiomys potamida,NBNSYS0000007842,SX,98,OSGB
Stratiomys potamida,NBNSYS0000007842,SY,08 09 28 29 39 48 49 58 59 66 67 68 77 78 79 87 88 89 97 98 99,OSGB
Stratiomys potamida,NBNSYS0000007842,SZ,07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99,OSGB
Stratiomys potamida,NBNSYS0000007842,TA,00 01 03 04 05 06 07 08 09 10 13 14 15 16 17 20 22 23 24 26 27 32 33,OSGB
Stratiomys potamida,NBNSYS0000007842,TF,00 01 02 05 08 09 10 11 12 13 14 15 18 19 22 24 26 27 28 29 33 34 35 36 37 41 47 52 55 56 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Stratiomys potamida,NBNSYS0000007842,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Stratiomys potamida,NBNSYS0000007842,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 41 42 43 44 45 46 47 48 50 53 54 55 56 57 58 60 63 64 65 66 67 68 69 72 75 76 77 78 79 82 83 84 85 86 87 88 89 95 96 97 98 99,OSGB
Stratiomys potamida,NBNSYS0000007842,TM,04 05 06 07 08 09 14 15 16 17 18 19 24 25 26 27 28 29 35 36 38 39 46 47 48 49 57 58 59,OSGB
Stratiomys potamida,NBNSYS0000007842,TQ,00 02 03 06 07 08 09 10 11 12 13 16 17 18 19 20 22 23 26 27 28 29 30 32 33 34 36 37 38 39 42 43 46 47 48 51 54 55 57 58 65 68 75 77 79 80 85 91 92 94 95,OSGB
Stratiomys potamida,NBNSYS0000007842,TR,01 02 03 04 05 12 13 14 15 16 23 24 25 33 34 35,OSGB
Stratiomys potamida,NBNSYS0000007842,TV,49 69,OSGB
Atrichops crassipes,NBNSYS0000007860,SU,97,OSGB
Atrichops crassipes,NBNSYS0000007860,SX,87,OSGB
Atrichops crassipes,NBNSYS0000007860,TQ,01 31 32 41 42,OSGB
Oxycera rara,NBNSYS0000007816,NH,54 55 59 65 66 67 68 69 76 77 79 86 87,OSGB
Oxycera rara,NBNSYS0000007816,NZ,21 31 32 43 50 51 60 62 70 71 80 81 90 91,OSGB
Oxycera rara,NBNSYS0000007816,SD,20 21 30 31 32 33 34 35 40 41 42 43 44 50 51 52 53 54 60 61 62 63 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Oxycera rara,NBNSYS0000007816,SE,00 01 02 03 04 11 12 13 14 15 20 21 22 23 24 26 27 30 31 32 33 34 35 36 40 41 42 43 44 48 50 52 53 55 57 59 60 61 62 63 64 65 66 69 70 71 72 73 74 75 76 79 80 81 82 83 84 90 91 92 93 94 95 99,OSGB
Oxycera rara,NBNSYS0000007816,SH,23 24 27 28 33 36 37 38 39 43 45 46 47 48 49 53 56 57 58 67 68 76 77 78 87 88 97 98,OSGB
Oxycera rara,NBNSYS0000007816,SJ,04 06 07 08 10 11 12 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 90 92 93 94 95,OSGB
Oxycera rara,NBNSYS0000007816,SK,00 01 02 03 08 10 12 13 20 21 22 23 30 31 32 34 37 38 39 40 41 42 46 47 48 49 50 51 52 53 60 61 62 69 70 71 72 78 79 80 81 82 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,SM,72 80 90 91 93,OSGB
Oxycera rara,NBNSYS0000007816,SN,00 10 14 20 25 30 31 40 41 50 51 60 61 70 71 80 81 90 91 92,OSGB
Oxycera rara,NBNSYS0000007816,SO,00 01 10 11 20 22 26 29 30 31 32 34 37 38 39 40 42 50 51 59 60 61 62 68 69 70 71 74 77 78 79 80 81 85 86 87 88 89 90 91 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,SP,06 07 08 09 13 16 17 18 19 20 27 28 29 30 31 32 33 37 38 39 40 41 42 43 44 47 48 49 50 51 52 55 56 57 58 59 60 64 65 66 67 68 69 75 76 77 78 79 86 87 88 89 92 93 96 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,SR,99,OSGB
Oxycera rara,NBNSYS0000007816,SS,19 48 49 58 59 68 69 77 78 79 87 88 89 96 98 99,OSGB
Oxycera rara,NBNSYS0000007816,ST,06 08 09 11 17 19 21 22 23 25 29 30 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 65 66 67 68 69 71 72 73 74 75 76 77 78 79 85 87 88 89 96 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,SU,00 01 08 10 11 12 13 18 20 21 22 30 31 32 33 34 40 41 42 43 44 46 49 50 51 52 53 56 59 60 65 70 73 75 76 80 85,OSGB
Oxycera rara,NBNSYS0000007816,SW,97,OSGB
Oxycera rara,NBNSYS0000007816,SX,25 35 44 45 46 54 55 63 64 73 74 83 84 85 87 95 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,SY,08 09 18 28 29 39 48 49 58 59 66 67 68 77 78 79 87 88 89 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,SZ,07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99,OSGB
Oxycera rara,NBNSYS0000007816,TA,00 01 02 03 04 05 09 10 11 12 13 14 16 20 32,OSGB
Oxycera rara,NBNSYS0000007816,TF,00 01 02 03 04 05 06 07 09 10 16 17 18 19 26 27 28 29 37 39 46 47 49 60 61 62 63 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Oxycera rara,NBNSYS0000007816,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Oxycera rara,NBNSYS0000007816,TL,00 02 03 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 27 30 31 32 40 41 42 44 45 46 52 60 66 69 76 78 79 81 87 88 89 91 92 93 96 97 98 99,OSGB
Oxycera rara,NBNSYS0000007816,TM,01 02 03 07 08 09 11 12 13 14 17 19 21 22 23 24 25 28 29 33 34 35 38 39 44 45 46 47 48 49 57 58 59,OSGB
Oxycera rara,NBNSYS0000007816,TQ,06 07 08 09 16 17 18 19 27 28 29 37 38 39 47 48 49 58 59 68 69 92,OSGB
Oxycera rara,NBNSYS0000007816,TR,03 13 15 16 23 24 25 26 34 35,OSGB
Tabanus cordiger,NBNSYS0000007893,NY,22 34 35 44 71,OSGB
Tabanus cordiger,NBNSYS0000007893,SJ,34,OSGB
Tabanus cordiger,NBNSYS0000007893,SK,01,OSGB
Tabanus cordiger,NBNSYS0000007893,SN,34 53 62,OSGB
Tabanus cordiger,NBNSYS0000007893,SO,30,OSGB
Tabanus cordiger,NBNSYS0000007893,SS,51 90,OSGB
Tabanus cordiger,NBNSYS0000007893,SU,20 72,OSGB
Tabanus cordiger,NBNSYS0000007893,SX,87,OSGB
Tabanus cordiger,NBNSYS0000007893,SY,08 09 89,OSGB
Tabanus cordiger,NBNSYS0000007893,SZ,39,OSGB
Rhagio lineola,NBNSYS0000007862,NB,90 91,OSGB
Rhagio lineola,NBNSYS0000007862,NC,00 01 02 03 14 15 16 25 26 36 37 40 46 50 56 60 66 70 76 80 81 86 90 91 96,OSGB
Rhagio lineola,NBNSYS0000007862,ND,02,OSGB
Rhagio lineola,NBNSYS0000007862,NG,63 75 85 86 95 96 97,OSGB
Rhagio lineola,NBNSYS0000007862,NH,03 04 05 06 07 08 15 17 20 21 23 25 28 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 57 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 98,OSGB
Rhagio lineola,NBNSYS0000007862,NJ,00 01 02 03 04 05 06 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 41 42 43 44 45 46 54 55 90,OSGB
Rhagio lineola,NBNSYS0000007862,NN,19 26 27 29 37 38 39 40 44 47 48 49 50 51 52 55 56 57 58 59 60 62 63 66 67 68 69 71 72 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 93 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,NO,02 03 04 05 06 07 08 09 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 63 64 65 66 67 69 74 75 76 79 86 87 88,OSGB
Rhagio lineola,NBNSYS0000007862,NR,16 24 25 47 48,OSGB
Rhagio lineola,NBNSYS0000007862,NS,00 10 14 15 20 21 23 24 25 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 69 70 71 72 73 74 76 80 81 82 83 85 89 92 94 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,NT,07 08 17 18 20 21 27 28 29 36 37 39 40 47 48 49 58 59 67 68 69 70 77 92 94,OSGB
Rhagio lineola,NBNSYS0000007862,NU,04 05 13 14 20 21 22 23,OSGB
Rhagio lineola,NBNSYS0000007862,NW,95 96 97,OSGB
Rhagio lineola,NBNSYS0000007862,NX,03 04 05 06 07 08 09 13 14 15 16 17 18 19 25 26 27 28 29 30 35 36 37 38 39 40 43 46 47 48 49 54 55 56 57 58 59 64 68 69 74 79 84 85 91 92 93 95 96 97,OSGB
Rhagio lineola,NBNSYS0000007862,NY,00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 25 26 28 29 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 59 60 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 79 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96,OSGB
Rhagio lineola,NBNSYS0000007862,NZ,00 01 02 04 05 06 10 13 14 15 16 17 18 20 24 25 26 27 28 29 40 50 51 60 61 62 70 71 72 80 81 90 91,OSGB
Rhagio lineola,NBNSYS0000007862,SC,16 17 26 27 28 36 37 38 39 47 48 49,OSGB
Rhagio lineola,NBNSYS0000007862,SD,08 09 16 17 18 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 86 87 88 89 90 91 92 93 94 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SE,00 01 02 03 04 07 08 09 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 83 84 85 86 87 88 89 90 91 94 95 96 97 98 99,OSGB
