"km100","km10","coord_system","taxon","tvk"
"SO","02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 37","OSGB","Cryptostemma alienum","NBNSYS0000010331"
"NS","30 40 41 50 60","OSGB","Aquarius najas","NHMSYS0000527503"
"NW","96","OSGB","Aquarius najas","NHMSYS0000527503"
"NX","03 04 05 06 07 13 14 15 16 17 24 25 26 27 28 29 34 35 36 37 38 39 44 45 46 47 48 49 55 56 57 58 59 65 66 67 68 69 74 75 76 77 78 79 84 86 87 88 89 96","OSGB","Aquarius najas","NHMSYS0000527503"
"SH","34 43 44 45 47 49 50 54 55 56 57 60 61 62 63 64 65 66 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96","OSGB","Aquarius najas","NHMSYS0000527503"
"SJ","00 01 02 03 04 05 06 07 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 30 31 40 60 80","OSGB","Aquarius najas","NHMSYS0000527503"
"SK","80 90 91","OSGB","Aquarius najas","NHMSYS0000527503"
"SM","70 72 80 81 82 83 90 91 92 93","OSGB","Aquarius najas","NHMSYS0000527503"
"SN","00 01 03 04 10 11 12 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 54 55 56 57 58 60 61 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 83 84 85 86 87 88 89 90 93 94 95 96 97 98 99","OSGB","Aquarius najas","NHMSYS0000527503"
"SO","02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 46 47 49 52 56 57 60 67 76 77 78 79 86 87 88 89 97 98 99","OSGB","Aquarius najas","NHMSYS0000527503"
"SP","06 07 08 09 10 12 13 17 18 20 21 22 23 27 28 30 31 32 33 40 41 42 43 44 50 51 52 60 61 70 80 89 90 91 99","OSGB","Aquarius najas","NHMSYS0000527503"
"SR","99","OSGB","Aquarius najas","NHMSYS0000527503"
"SS","09 10 11 14 19 20 21 22 30 31 32 40 41 42 43 44 50 51 52 53 54 58 60 61 62 63 64 68 70 71 72 73 74 75 77 80 81 82 83 84 88 90 91 92 93 94 97 98 99","OSGB","Aquarius najas","NHMSYS0000527503"
"ST","00 01 02 03 07 09 10 11 13 16 17 18 19 20 21 27 28 29 36 37 38 39 47 48 49 57 58 59 69 98","OSGB","Aquarius najas","NHMSYS0000527503"
"SU","00 01 02 08 09 10 11 12 13 18 19 20 21 23 24 25 26 28 29 30 31 32 33 34 35 37 39 40 41 42 43 44 45 47 49 50 51 52 53 54 55 56 58 59 60 61 62 63 64 65 66 68 69 70 71 72 73 74 75 76 78 79 81 82 83 84 85 86 87 88 89 91 93 94 95 96 97 98 99","OSGB","Aquarius najas","NHMSYS0000527503"
"SV","80 81 90 91","OSGB","Aquarius najas","NHMSYS0000527503"
"SW","32 33 42 43 44 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 84 85 86 87 93 94 95 96 97 98","OSGB","Aquarius najas","NHMSYS0000527503"
"SX","03 04 05 06 07 08 09 14 15 16 17 18 19 25 26 27 28 29 35 36 37 38 39 44 45 46 47 48 49 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 94 95 96 97 98 99","OSGB","Aquarius najas","NHMSYS0000527503"
"SY","07 08 09 19 29 78 88 89 98 99","OSGB","Aquarius najas","NHMSYS0000527503"
"SZ","08 09 19 28 29 38 39 49 58 59 68 69 79","OSGB","Aquarius najas","NHMSYS0000527503"
"TF","00","OSGB","Aquarius najas","NHMSYS0000527503"
"TL","00 10 11 12 20 21 22 30 31 32 41 42 60 70","OSGB","Aquarius najas","NHMSYS0000527503"
"TQ","01 04 05 06 07 08 09 14 15 16 17 18 19 25 26 27 28 29 35 36 37 38 39 46 47 48 49 57 58 59 65 66 68 69 70 75 76 84 85 92 94 95","OSGB","Aquarius najas","NHMSYS0000527503"
"TR","03 04 05 13 14 15 16 24 25 34 35","OSGB","Aquarius najas","NHMSYS0000527503"
"SP","40 42 43 50 52 55 60 61 62 63 64 70 71 72 73 74 76 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98","OSGB","Aquarius paludum","NHMSYS0000527504"
"ST","90","OSGB","Aquarius paludum","NHMSYS0000527504"
"SU","00 01 10 11 20 22 26 30 31 32 36 40 41 42 46 47 49 50 51 53 56 57 58 59 60 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99","OSGB","Aquarius paludum","NHMSYS0000527504"
"SY","59 78 79 88 89 98 99","OSGB","Aquarius paludum","NHMSYS0000527504"
"SZ","08 09 19 29 38 39 48 49 57 58 59 68 69 79 89","OSGB","Aquarius paludum","NHMSYS0000527504"
"TG","12 14 22 23 30 31 32 40 41 42","OSGB","Aquarius paludum","NHMSYS0000527504"
"TL","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 31 32 33 34 35 36 37 38 41 42 43 44 45 46 54 60 61 65 70 71 72 80 81 82 83 85 86 91 92 93 94 95 96 97","OSGB","Aquarius paludum","NHMSYS0000527504"
"TM","01 02 03 04 06 12 13 14 15 16 18 23 24 25 26 27 34 35 36 37 45 46 47 49 59","OSGB","Aquarius paludum","NHMSYS0000527504"
"TQ","00 01 02 03 04 05 06 07 08 09 12 13 14 15 16 17 19 22 23 24 25 27 28 32 33 34 35 42 43 44 45 47 51 52 53 54 55 56 57 59 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 92 93 94 95 96","OSGB","Aquarius paludum","NHMSYS0000527504"
"TR","03 04 05 13 14 15 24 25 34","OSGB","Aquarius paludum","NHMSYS0000527504"
"HP","40 50 51 60 61","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"HT","93 94","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"HU","14 15 16 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 48 49 53 54 55 56 57 58 59 66 67 68 69","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"HY","10 34 53 55 60 61 63 75","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"HZ","16 17 26 27","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NB","43 54 90 91","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NC","00 01 02 03 12 13 14 15 16 21 22 23 24 25 26 27 36 37 45 46 51 55 56 61 62 63 64 65 66 71 72 73 75 80 81 82 83 84 85 92 93 94 95","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"ND","02 03 04 05 12 14 15 19 24 28 29 33","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NF","80 81 83","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NG","14 15 23 24 25 26 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 47 52 54 55 56 63 64 65 66 70 73 74 75 76 77 78 79 80 83 84 85 86 87 88 89 90 91 92 93 94 95 96 98 99","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NH","00 01 02 03 04 05 07 08 09 11 17 20 21 28 31 40 41 51 60","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NJ","10 20 21 30 31","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NM","29 38 39 49 59","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NN","13 15 16 17 18 19 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 77 78 82 83 84 85 87 89 93 97 98","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NO","05 07 08 17 18 19 26 27 28 29 37 38 47 48 49 58","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NR","45 50 51 57 63 73 85 93 94 95","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NS","00 01 04 07 40 49 50 60 61 63 70 72 82 91","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NX","05 06 09 13 15 16 17 18 25 26 27 28 29 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 68 69 74 77 78 79 84 85 95 96 99","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NY","10 11 12 20 21 22 30 31 32 40 41 50 60 63 64 70 72 73 74 80 81 82 83 84 90 91 92 93 94","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"NZ","00 01 02 10","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"SC","39","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"SD","19 28 29 39 55 64 65 66 67 68 69 74 75 76 77 78 79 85 86 87 88 89 95 96 97 98 99","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"SE","05 06 07 08 09 16 17 18 19","OSGB","Arctocorisa carinata","NHMSYS0000527505"
"HP","40 50 51 60 61","OSGB","Arctocorisa germari","NHMSYS0000527506"
"HT","93 94","OSGB","Arctocorisa germari","NHMSYS0000527506"
"HU","14 15 16 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 53 54 55 56 57 58 59 66 67 68 69","OSGB","Arctocorisa germari","NHMSYS0000527506"
"HW","83","OSGB","Arctocorisa germari","NHMSYS0000527506"
"HX","62","OSGB","Arctocorisa germari","NHMSYS0000527506"
"HY","10 20 21 22 30 31 32 33 34 40 41 42 43 44 45 50 51 52 53 54 55 60 61 62 63 64 73 74 75","OSGB","Arctocorisa germari","NHMSYS0000527506"
