"km100","km10","coord_system","taxon","tvk"
"SC","16 26","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SD","16 20 21 30 31 32 33 34 35 36 40 41 42 44 52","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TA","09","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TF","11 12 20 21 22 30 41 50 94","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TG","03 14 24 50","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TL","29 37 39 47 48 49 50 56 57 58 59 68 69 80","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TM","34 45 46 47 57 58 59","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TQ","01 04 05 06 08 11 14 15 16 17 18 21 25 26 27 28 35 36 38 39 46 48 49 58 68 69 79 80 91","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TR","01 02 12","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"TV","49 69","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SU","00 01 10 11 20 21 22 30 31 32 39 40 41 47 49 50 56 59 66 73 75 76 82 83 84 85 86 91 94 95 96 97 98","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SV","80 81 90 91","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SW","32 33 42 43 44 52 53 54 61 62 64 65 71 72 75 76 81 82 83 84 86 87 93 94 97","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 56 57 58 61 67 68 76 77 78 87 88 97 98","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SJ","07 18 27 28 29 37 38 39 42 43 44 45 46 48 49 53 54 55 56 57 59 61 62 63 64 65 66 67 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 91 92 93 94 95","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SK","02 03 04 20 40 50","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SM","50 62 70 72 73 80 81 82 83 84 90 91 92 93 94","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SN","00 01 02 03 04 10 13 14 15 20 23 24 25 30 31 33 34 35 36 40 42 43 44 45 46 50 52 53 54 55 56 57 58 59 62 63 64 65 66 67 68 69 72 73 74 75 76 77 79 82 83 84 94 95 96 97","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SO","70 71 81 82 83 84 93","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SP","02 07 08 11 12 13 17 18 19 20 21 22 23 26 27 28 29 31 32 33 34 37 39 40 41 42 43 44 48 49 50 51 52 53 54 60 76","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SR","89 99","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SS","09 19 38 39 43 44 48 49 58 59 68 69 77 78 79 87 88","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"ST","06 17 24 25 26 27 28 34 35 36 37 38 39 47 48 57 58 69 80","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SY","28 48 49 58 66 67 68 69 77 78 79 87 88 89 97 98 99","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SZ","08 09 19 29 38 39 49 58 59 68 69 79 99","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"SX","03 04 05 07 08 15 25 35 44 45 46 47 54 55 56 63 64 65 73 74 76 77 83 84 85 86 87 94 95 96 97","OSGB","Euconomelus lepidus","NHMSYS0020705554"
"NF","81 83","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"HY","54","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NK","02 03 14 15","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NG","14 30 32 34 40 41 42 43 44 50 52 53 61 62 70 72","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NH","31 41 42 43 44 52 53 54 63 64 70 73 80 81 82 83 84 90 91 92 93 94","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NJ","01 02 03 04 11 12 13 20 21 22 30 31 40 90 92","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NR","70","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NM","23 24 38 39 49 89","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NN","40 62 65 69 73 74 75 76 79 84 85 86 95 96","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NO","06 07 15 16 17 19 27 28 29 38 40 42 43 44 45 47 49 52 53 58 60 61 63 64 65 66 74 75 76 79 86 87 88 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NW","97","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NX","07 08 18 19 40 78 79 87 88 89 90 91 92 93 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NY","00 03 07 09 17 19 27 28 29 38 39 49 59","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NZ","11 12 13 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 50 51 52 53 60 61 62 70 71 72 80 81 90 91","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SC","26 27 28 37 39 47 48 49","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SD","08 09 16 17 18 19 20 21 26 27 28 30 31 32 33 34 35 36 37 38 40 41 42 43 44 50 51 52 53 60 62 70 71 72 80 90 92","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SE","01 02 03 04 10 11 12 13 14 15 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 46 47 50 51 52 53 54 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 56 57 58 61 67 68 76 77 78 87 88 97 98","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SJ","06 07 08 15 16 17 18 20 21 22 23 24 25 26 27 28 29 31 32 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SK","00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 62 63 64 65 67 68 69 70 72 73 74 75 76 77 79 80 82 83 84 86 87 88 89 90 91 92 93 94 95 96 97","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NS","02 10 14 15 20 21 23 24 25 26 31 32 33 49 70 71 80 81 90 97 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
