code,taxon,tvk
2,Clematis montana,NBNSYS0000002706
4,Clematis viticella,NBNSYS0000002707
2,Ranunculus acris,NBNSYS0000002708
1,Ranunculus repens,NBNSYS0000002709
2,Ranunculus bulbosus,NBNSYS0000002710
2,Ranunculus arvensis,NBNSYS0000002712
3,Ranunculus muricatus,NBNSYS0000002713
2,Ranunculus sardous,NBNSYS0000002714
2,Ranunculus parviflorus,NBNSYS0000002715
2,Ranunculus auricomus,NBNSYS0000002716
2,Ranunculus lingua,NBNSYS0000002717
2,Ranunculus flammula,NBNSYS0000002718
4,Ranunculus reptans,NBNSYS0000002719
2,Ranunculus sceleratus,NBNSYS0000002721
2,Ranunculus hederaceus,NBNSYS0000002722
3,Ranunculus omiophyllus,NBNSYS0000002723
3,Ranunculus tripartitus,NBNSYS0000002724
3,Ranunculus fluitans,NBNSYS0000002725
3,Ranunculus circinatus,NBNSYS0000002726
2,Ranunculus trichophyllus,NBNSYS0000002727
3,Ranunculus aquatilis,NBNSYS0000002731
3,Ranunculus peltatus,NBNSYS0000002732
2,Ranunculus penicillatus,NBNSYS0000002733
3,Adonis annua,NBNSYS0000002739
2,Myosurus minimus,NBNSYS0000002740
2,Aquilegia vulgaris,NBNSYS0000002742
3,Aquilegia pyrenaica,NBNSYS0000002743
2,Thalictrum flavum,NBNSYS0000002744
3,Thalictrum alpinum,NBNSYS0000002745
2,Thalictrum minus,NBNSYS0000002746
2,Berberis vulgaris,NBNSYS0000002752
4,Berberis glaucocarpa,NBNSYS0000002753
2,Mahonia aquifolium,NBNSYS0000002756
1,Nymphaea alba,NBNSYS0000002757
3,Nuphar pumila,NBNSYS0000002759
2,Ceratophyllum demersum,NBNSYS0000002761
3,Ceratophyllum submersum,NBNSYS0000002762
1,Papaver rhoeas,NBNSYS0000002764
2,Papaver hybridum,NBNSYS0000002767
2,Papaver argemone,NBNSYS0000002768
2,Papaver somniferum,NBNSYS0000002769
2,Glaucium flavum,NBNSYS0000002774
2,Chelidonium majus,NBNSYS0000002775
2,Eschscholzia californica,NBNSYS0000002776
3,Corydalis solida,NBNSYS0000002778
2,Pseudofumaria lutea,NBNSYS0000002781
3,Fumaria occidentalis,NBNSYS0000002782
3,Fumaria capreolata,NBNSYS0000002783
3,Fumaria purpurea,NBNSYS0000002784
3,Fumaria bastardii,NBNSYS0000002785
4,Fumaria muralis subsp. neglecta,NBNSYS0000002790
3,Fumaria densiflora,NBNSYS0000002792
2,Fumaria officinalis,NBNSYS0000002793
3,Fumaria parviflora,NBNSYS0000002797
2,Brassica oleracea,NBNSYS0000002800
2,Brassica napus,NBNSYS0000002801
2,Brassica rapa,NBNSYS0000002802
2,Sinapis arvensis,NBNSYS0000002808
2,Sinapis alba,NBNSYS0000002809
2,Diplotaxis muralis,NBNSYS0000002811
2,Diplotaxis tenuifolia,NBNSYS0000002812
3,Diplotaxis erucoides,NBNSYS0000002813
3,Eruca vesicaria,NBNSYS0000002814
2,Raphanus raphanistrum,NBNSYS0000002815
2,Raphanus sativus,NBNSYS0000002820
2,Crambe maritima,NBNSYS0000002821
3,Crambe cordifolia,NBNSYS0000002822
4,Rapistrum perenne,NBNSYS0000002823
2,Rapistrum rugosum,NBNSYS0000002824
2,Cakile maritima,NBNSYS0000002826
3,Conringia orientalis,NBNSYS0000002827
2,Lepidium sativum,NBNSYS0000002828
2,Lepidium heterophyllum,NBNSYS0000002830
2,Lepidium ruderale,NBNSYS0000002831
3,Lepidium virginicum,NBNSYS0000002832
2,Lepidium latifolium,NBNSYS0000002833
3,Lepidium graminifolium,NBNSYS0000002834
2,Lepidium draba,NBNSYS0000002837
4,Lepidium draba subsp. chalepense,NBNSYS0000002838
2,Isatis tinctoria,NBNSYS0000002839
2,Iberis amara,NBNSYS0000002840
2,Thlaspi arvense,NBNSYS0000002841
3,Thlaspi alliaceum,NBNSYS0000002842
2,Cochlearia pyrenaica,NBNSYS0000002851
2,Cochlearia danica,NBNSYS0000002854
2,Cochlearia anglica,NBNSYS0000002855
2,Subularia aquatica,NBNSYS0000002856
2,Bunias orientalis,NBNSYS0000002858
3,Alyssum alyssoides,NBNSYS0000002859
2,Lobularia maritima,NBNSYS0000002861
2,Berteroa incana,NBNSYS0000002862
2,Draba aizoides,NBNSYS0000002863
3,Draba norvegica,NBNSYS0000002864
2,Draba incana,NBNSYS0000002865
2,Draba muralis,NBNSYS0000002866
1,Cardamine pratensis,NBNSYS0000002872
2,Cardamine amara,NBNSYS0000002873
2,Cardamine impatiens,NBNSYS0000002874
2,Cardamine flexuosa,NBNSYS0000002875
2,Cardamine hirsuta,NBNSYS0000002876
4,Cardamine trifolia,NBNSYS0000002877
2,Cardamine bulbifera,NBNSYS0000002879
2,Barbarea stricta,NBNSYS0000002882
3,Arabis alpina,NBNSYS0000002887
2,Arabis hirsuta,NBNSYS0000002889
3,Arabis scabra,NBNSYS0000002891
2,Rorippa sylvestris,NBNSYS0000002896
2,Rorippa palustris,NBNSYS0000002897
2,Rorippa amphibia,NBNSYS0000002898
3,Rorippa austriaca,NBNSYS0000002899
1,Hesperis matronalis,NBNSYS0000002902
2,Erysimum cheiranthoides,NBNSYS0000002903
2,Erysimum cheiri,NBNSYS0000002904
1,Sisymbrium officinale,NBNSYS0000002906
3,Sisymbrium irio,NBNSYS0000002907
3,Sisymbrium loeselii,NBNSYS0000002908
2,Sisymbrium orientale,NBNSYS0000002909
3,Sisymbrium altissimum,NBNSYS0000002910
4,Sisymbrium strictissimum,NBNSYS0000002911
4,Sisymbrium polyceratium,NBNSYS0000002912
2,Arabidopsis thaliana,NBNSYS0000002913
2,Camelina sativa,NBNSYS0000002914
4,Camelina microcarpa,NBNSYS0000002915
2,Descurainia sophia,NBNSYS0000002916
1,Aubrieta deltoidea,NBNSYS0000002917
1,Lunaria annua,NBNSYS0000002918
2,Reseda luteola,NBNSYS0000002919
2,Reseda lutea,NBNSYS0000002920
3,Reseda alba,NBNSYS0000002921
3,Reseda phyteuma,NBNSYS0000002922
2,Viola odorata,NBNSYS0000002924
2,Viola hirta,NBNSYS0000002926
2,Viola canina,NBNSYS0000002934
2,Viola palustris,NBNSYS0000002939
2,Viola cornuta,NBNSYS0000002942
3,Viola tricolor,NBNSYS0000002944
1,Viola arvensis,NBNSYS0000002947
2,Polygala vulgaris,NBNSYS0000002949
3,Polygala amarella,NBNSYS0000002952
2,Hypericum androsaemum,NBNSYS0000002953
3,Hypericum hircinum,NBNSYS0000002955
2,Hypericum calycinum,NBNSYS0000002956
2,Hypericum perforatum,NBNSYS0000002957
2,Hypericum maculatum,NBNSYS0000002958
2,Hypericum maculatum subsp. obtusiusculum,NBNSYS0000002960
2,Hypericum humifusum,NBNSYS0000002964
3,Hypericum linariifolium,NBNSYS0000002965
2,Hypericum pulchrum,NBNSYS0000002966
2,Hypericum hirsutum,NBNSYS0000002967
2,Hypericum montanum,NBNSYS0000002968
2,Hypericum elodes,NBNSYS0000002969
3,Hypericum canadense,NBNSYS0000002970
3,Tuberaria guttata,NBNSYS0000002971
